"age_yrBP","depth_m","deuterium_permille","temp_anomaly_C"
"10082.8076","314.05","-397.7",-1.18
"10100.7148","314.6","-390.4",0.02
"10117.3848","315.15","-382.1",1.39
"10134.0547","315.7","-387.9",0.43
"10151.3037","316.25","-390.6",-0.02
"10169.0801","316.8","-393.3",-0.47
"10186.8447","317.35","-388.1",0.38
"10204.6504","317.9","-391.6",-0.2
"10222.457","318.45","-396.9",-1.08
"10240.6914","319","-398.7",-1.38
"10259.3174","319.55","-386.6",0.61
"10277.8193","320.1","-390.7",-0.07
"10295.4287","320.65","-391.2",-0.15
"10313.0391","321.2","-389.5",0.12
"10331.2852","321.75","-400.9",-1.76
"10349.9658","322.3","-388.6",0.26
"10368.6934","322.85","-397.9",-1.27
"10387.6484","323.4","-393",-0.47
"10406.6045","323.95","-394.4",-0.71
"10425.666","324.5","-399.4",-1.53
"10444.7451","325.05","-388.2",0.31
"10462.4648","325.6","-386.8",0.53
"10478.709","326.15","-383",1.16
"10494.9551","326.7","-387.5",0.41
"10511.0078","327.25","-390.1",-0.02
"10527.0107","327.8","-377.1",2.12
"10543.0801","328.35","-397.4",-1.23
"10561.7129","328.9","-390.6",-0.12
"10580.3486","329.45","-393.2",-0.55
"10599.0938","330","-395.2",-0.88
"10617.9082","330.55","-393.7",-0.64
"10636.5059","331.1","-392.9",-0.51
"10654.5195","331.65","-391.4",-0.27
"10672.5352","332.2","-384.5",0.86
"10690.502","332.75","-394.4",-0.77
"10708.46","333.3","-394.8",-0.84
"10726.8691","333.85","-395.8",-1.01
"10746.2324","334.4","-396.2",-1.08
"10765.5918","334.95","-395.4",-0.96
"10784.1104","335.5","-391.7",-0.35
"10802.6348","336.05","-390.9",-0.22
"10820.6396","336.6","-388",0.25
"10838.3174","337.15","-392.6",-0.51
"10856.1475","337.7","-397.7",-1.36
"10875.415","338.25","-394.3",-0.8
"10894.6758","338.8","-391.4",-0.33
"10912.8857","339.35","-387.7",0.28
"10930.7822","339.9","-395.2",-0.96
"10949.2148","340.45","-400.3",-1.81
"10968.9082","341","-393.3",-0.66
"10988.5869","341.55","-390",-0.12
"11006.1572","342.1","-390.9",-0.27
"11023.7334","342.65","-387.4",0.3
"11041.708","343.2","-389.7",-0.08
"11060.0918","343.75","-398",-1.45
"11078.5186","344.3","-396.1",-1.14
"11097.5898","344.85","-392",-0.47
"11116.6689","345.4","-397.7",-1.41
"11136.4746","345.95","-398.9",-1.62
"11156.5488","346.5","-394.7",-0.93
"11175.1875","347.05","-386.8",0.37
"11192.2822","347.6","-385.8",0.53
"11209.3838","348.15","-387.9",0.18
"11227.6016","348.7","-390.7",-0.29
"11245.9404","349.25","-402",-2.15
"11264.5518","349.8","-392.6",-0.61
"11283.459","350.35","-390.8",-0.32
"11302.1328","350.9","-394.6",-0.95
"11318.9443","351.45","-381",1.29
"11335.752","352","-382.1",1.11
"11353.6064","352.55","-399.5",-1.77
"11372.5303","353.1","-393.5",-0.78
"11391.5273","353.65","-398.4",-1.59
"11410.9902","354.2","-393.4",-0.77
"11430.4473","354.75","-390.9",-0.37
"11448.0908","355.3","-386.1",0.42
"11465.3408","355.85","-387.8",0.14
"11482.4912","356.4","-383.8",0.79
"11499.3379","356.95","-386.9",0.28
"11516.1816","357.5","-393",-0.73
"11534.6416","358.05","-396.6",-1.33
"11554.0088","358.6","-394.1",-0.92
"11573.4229","359.15","-395.5",-1.16
"11592.9346","359.7","-395.4",-1.15
"11612.4434","360.25","-389.6",-0.19
"11630.7852","360.8","-394.8",-1.05
"11649.1289","361.35","-388.3",0.01
"11667.3623","361.9","-394.8",-1.06
"11685.5176","362.45","-387.9",0.07
"11703.75","363","-396.1",-1.29
"11722.7441","363.55","-391.3",-0.5
"11741.7461","364.1","-393.6",-0.88
"11760.4072","364.65","-387.8",0.07
"11778.9531","365.2","-396.1",-1.3
"11798.4639","365.75","-403.2",-2.48
"11819.9482","366.3","-399.4",-1.85
"11841.3965","366.85","-400.8",-2.09
"11862.6777","367.4","-399.4",-1.86
"11883.957","367.95","-400.9",-2.11
"11905.2725","368.5","-399.2",-1.84
"11926.5986","369.05","-404.9",-2.78
"11949.4121","369.6","-404",-2.64
"11972.2861","370.15","-398.2",-1.69
"11993.3936","370.7","-400",-1.99
"12014.4326","371.25","-399.8",-1.96
"12036.7266","371.8","-406.2",-3.02
"12059.3008","372.35","-403.5",-2.57
"12082.4902","372.9","-405.5",-2.91
"12105.833","373.45","-414.8",-4.44
"12130.8604","374","-406.2",-3.03
"12156.1396","374.55","-405.8",-2.97
"12180.584","375.1","-410.9",-3.81
"12204.7021","375.65","-403.7",-2.63
"12227.249","376.2","-400.6",-2.12
"12249.9336","376.75","-409.6",-3.61
"12273.4033","377.3","-401.2",-2.23
"12297.4521","377.85","-413.3",-4.23
"12323.7012","378.4","-414.3",-4.4
"12349.8477","378.95","-408.8",-3.49
"12375.8887","379.5","-417.4",-4.91
"12401.6885","380.05","-406.8",-3.17
"12427.3848","380.6","-404.3",-2.76
"12452.1934","381.15","-412.4",-4.1
"12477.0107","381.7","-412.6",-4.14
